State,Rate,90_CI,Year(three.year.range.lower.end)
New Mexico,21.8,2.5,2013
Louisiana,21,1.8,2013
Kentucky,20.5,1.7,2013
Mississippi,20.1,2.1,2013
District of Columbia,19.6,1.7,2013
Arizona,18.7,1.4,2013
West Virginia,18.3,2.6,2013
Georgia,17.8,1.3,2013
Oklahoma,17.6,2.2,2013
Alabama,17.5,1.3,2013
South Carolina,16.7,1.7,2013
Arkansas,16.1,1.4,2013
Texas,16,0.9,2013
Florida,15.9,1,2013
Tennessee,15.8,1.4,2013
North Carolina,15.7,1.4,2013
New York,15.2,1,2013
California,14.9,0.7,2013
Indiana,14.9,1.7,2013
Nevada,14.8,1.8,2013
Ohio,14.7,1.2,2013
United States,14.4,0.2,2013
Michigan,13.4,1.2,2013
Oregon,13.4,1.7,2013
South Dakota,13.3,2.2,2013
Maine,12.8,1.6,2013
Illinois,12.7,0.9,2013
Kansas,12.6,1.7,2013
Missouri,12.6,1.6,2013
Idaho,12.4,1.6,2013
Massachusetts,12.4,1.6,2013
Pennsylvania,12,1,2013
Washington,11.9,1.2,2013
Wisconsin,11.9,1.3,2013
Montana,11.5,1.9,2013
Iowa,11.3,1.3,2013
North Dakota,11.2,1.5,2013
Delaware,11.1,1.4,2013
Colorado,11,1.3,2013
Nebraska,10.9,1.3,2013
Hawaii,10.8,1.4,2013
New Jersey,10.8,1.2,2013
Rhode Island,10.8,1.6,2013
Utah,10.6,1.4,2013
Virginia,10.3,1.1,2013
Wyoming,10.3,1.5,2013
Alaska,10.2,1.4,2013
Maryland,10,1.3,2013
Connecticut,9.5,1.4,2013
Minnesota,9,1.2,2013
Vermont,8.9,1.3,2013
New Hampshire,6.6,0.9,2013
Mississippi,21.3,1.8,2007
Arizona,17.8,1.5,2007
New Mexico,17.5,1.8,2007
District of Columbia,17.5,1.8,2007
Texas,16.6,0.7,2007
Kentucky,16.5,1.6,2007
Louisiana,16.2,1.6,2007
Arkansas,16,1.6,2007
Georgia,15.8,1.1,2007
North Carolina,15.4,1.1,2007
Tennessee,15.4,1.3,2007
Alabama,15.1,1.5,2007
West Virginia,15,1.5,2007
New York,14.8,0.8,2007
California,14.2,0.6,2007
Indiana,14.1,1.3,2007
South Carolina,13.9,1.5,2007
Missouri,13.9,1.3,2007
Florida,13.4,0.7,2007
     United States,13.4,0.2,2007
Oklahoma,13.3,1.5,2007
Ohio,13.3,0.9,2007
Montana,13.1,1.5,2007
Kansas,12.7,1.5,2007
Michigan,12.6,1,2007
Oregon,12.2,1.5,2007
South Dakota,12.2,1.3,2007
Idaho,12,0.8,2007
Illinois,11.8,1.4,2007
Rhode Island,11.7,1.5,2007
Maine,11.4,1.5,2007
Nevada,11.2,1.4,2007
Massachusetts,11.1,1.1,2007
Colorado,11.1,1.4,2007
Pennsylvania,10.8,0.8,2007
Washington,10.7,1.1,2007
North Dakota,10.7,1.4,2007
Wisconsin,10.5,1.2,2007
Delaware,10.4,1.3,2007
Nebraska,10.1,1.3,2007
Minnesota,10.1,1.2,2007
Wyoming,10.1,1.4,2007
Hawaii,10,1.3,2007
Virginia,9.9,1,2007
Iowa,9.7,1.3,2007
Vermont,9.4,1.4,2007
Alaska,9.2,1.3,2007
New Jersey,9.1,0.9,2007
Maryland,9,1.1,2007
Utah,9,1.1,2007
Connecticut,8.4,1.2,2007
New Hampshire,6.9,1.1,2007
Louisiana,19.8,1,2016
Mississippi,19.8,1.2,2016
New Mexico,18.7,2,2016
West Virginia,17.2,2.1,2016
Alabama,16,1.5,2016
Arkansas,15.5,1.1,2016
Kentucky,15.3,1.5,2016
District of Columbia,14.9,1.1,2016
Georgia,14.7,1.1,2016
Arizona,14.4,1.6,2016
North Carolina,14.1,1,2016
South Carolina,14.1,1.3,2016
Oklahoma,14,1.9,2016
Texas,13.7,0.7,2016
Florida,13.6,0.9,2016
Ohio,12.8,0.9,2016
Maine,12.6,1.7,2016
Tennessee,12.6,1.4,2016
California,12.5,0.5,2016
      United States,12.3,0.2,2016
Alaska,12.2,1.8,2016
Nevada,12.2,1.3,2016
Missouri,11.9,1.5,2016
Indiana,11.8,1.1,2016
New York,11.8,0.7,2016
South Dakota,11.8,1.9,2016
Pennsylvania,11.5,0.9,2016
Wyoming,11.4,1.6,2016
Idaho,11.3,1.2,2016
Michigan,11,0.9,2016
Illinois,10.9,1,2016
North Dakota,10.9,1.4,2016
Kansas,10.8,1.3,2016
Virginia,10.7,1,2016
Oregon,10.6,1.6,2016
Montana,10.4,1.3,2016
Nebraska,10.4,1.4,2016
Rhode Island,10.3,1.6,2016
Washington,10.3,1,2016
Connecticut,9.9,1.3,2016
Massachusetts,9.8,1,2016
Delaware,9.6,1.1,2016
Vermont,9.6,1.1,2016
Hawaii,9.5,1.2,2016
Wisconsin,9.5,0.8,2016
Iowa,9.2,1.1,2016
New Jersey,9.1,0.9,2016
Colorado,8.9,0.9,2016
Minnesota,8.7,1.2,2016
Utah,7.9,1.3,2016
Maryland,7.1,0.9,2016
New Hampshire,6.4,0.8,2016
Louisiana,21.22851708,2.384656364,2010
Mississippi,20.63024843,1.932843938,2010
New Mexico,20.26959998,1.925603391,2010
District of Columbia,19.26173801,1.502986015,2010
Georgia,18.44635576,1.28764847,2010
Arizona,18.33190115,2.146328821,2010
Arkansas,18.03502662,2.093192594,2010
Texas,17.62626436,0.987395501,2010
South Carolina,17.54177857,1.437152282,2010
Kentucky,17.18190794,1.868282657,2010
Tennessee,17.18066659,2.15162955,2010
West Virginia,17.00430591,2.291964034,2010
North Carolina,16.65185919,1.607786131,2010
New York,16.40934235,0.854231382,2010
California,16.35756639,0.618933126,2010
Alabama,16.243813,2.001172518,2010
Oklahoma,16.07549726,1.488011227,2010
Nevada,15.94683835,1.47499645,2010
Indiana,15.68644521,1.610517622,2010
Florida,15.38619722,0.763962318,2010
Ohio,15.28595144,1.524031181,2010
Missouri,15.2144874,2.059970479,2010
     United States,15.03297186,0.192540424,2010
Montana,14.80789986,2.087704707,2010
Michigan,14.77425018,1.178745241,2010
Idaho,14.66715648,2.017465963,2010
Kansas,14.27564434,1.771627738,2010
Oregon,14.06467944,1.417727974,2010
Rhode Island,13.66175156,1.307974754,2010
South Dakota,13.64841877,2.236052707,2010
Illinois,13.64367564,0.939929804,2010
Delaware,13.11706277,1.210229021,2010
Maine,12.95887858,1.268454198,2010
Pennsylvania,12.91530016,0.983114419,2010
Hawaii,12.76431994,1.688444994,2010
Colorado,12.46186669,1.472683736,2010
Washington,11.91656442,1.207690486,2010
Wisconsin,11.51414037,1.226053943,2010
Alaska,11.39121388,1.49449342,2010
North Dakota,11.31138143,1.217377487,2010
Vermont,11.19631684,1.216193773,2010
Massachusetts,10.91964031,1.157533063,2010
Nebraska,10.8919702,1.627140523,2010
Virginia,10.88957813,1.09036077,2010
Utah,10.66236277,1.387617572,2010
New Jersey,10.60871823,1.113295838,2010
Iowa,10.33995432,0.930743282,2010
Minnesota,10.25975901,1.087380732,2010
Maryland,10.01209628,0.860912109,2010
Wyoming,9.969549347,1.364154033,2010
Connecticut,9.667511174,1.036575252,2010
New Hampshire,7.416277264,0.87895117,2010
